Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
6 Previous Position 6,Aston Villa AVL,38,17,13,8,52,39,13,64,W Sunday 18 April 2010 POR 1-2 AVL W Wednesday 21 April 2010 HUL 0-2 AVL W Sunday 25 April 2010 AVL 1-0 BIR L Saturday 1 May 2010 MCI 3-1 AVL L Sunday 9 May 2010 AVL 0-1 BLB,,
Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Aston Villa label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page
7 Previous Position 7,Liverpool LIV,38,18,9,11,61,35,26,63,D Sunday 11 April 2010 LIV 0-0 FUL W Monday 19 April 2010 LIV 3-0 WHU W Sunday 25 April 2010 BUR 0-4 LIV L Sunday 2 May 2010 LIV 0-2 CHE D Sunday 9 May 2010 HUL 0-0 LIV,,
Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page
8 Previous Position 8,Everton EVE,38,16,13,9,60,49,11,61,D Wednesday 14 April 2010 AVL 2-2 EVE W Saturday 17 April 2010 BLB 2-3 EVE W Sunday 25 April 2010 EVE 2-1 FUL D Saturday 1 May 2010 STK 0-0 EVE W Sunday 9 May 2010 EVE 1-0 POR,,
Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page,Everton label.latestresult: Sunday 9 May 2010 EVE 1-0 POR Visit Club Page
9 Previous Position 9,Birmingham City BIR,38,13,11,14,38,47,-9,50,L Sunday 11 April 2010 MCI 5-1 BIR D Saturday 17 April 2010 BIR 0-0 HUL L Sunday 25 April 2010 AVL 1-0 BIR W Saturday 1 May 2010 BIR 2-1 BUR L Sunday 9 May 2010 BOL 2-1 BIR,,
Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Birmingham City label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page
10 Previous Position 11,Blackburn Rovers BLB,38,13,11,14,41,55,-14,50,D Sunday 11 April 2010 BLB 0-0 MUN L Saturday 17 April 2010 BLB 2-3 EVE D Saturday 24 April 2010 WOL 1-1 BLB W Monday 3 May 2010 BLB 2-1 ARS W Sunday 9 May 2010 AVL 0-1 BLB,,
Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page,Blackburn Rovers label.latestresult: Sunday 9 May 2010 AVL 0-1 BLB Visit Club Page
11 Previous Position 10,Stoke City STK,38,11,14,13,34,48,-14,47,L Saturday 17 April 2010 STK 1-2 BOL L Sunday 25 April 2010 CHE 7-0 STK D Saturday 1 May 2010 STK 0-0 EVE W Wednesday 5 May 2010 FUL 0-1 STK L Sunday 9 May 2010 MUN 4-0 STK,,
Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page,Stoke City label.latestresult: Sunday 9 May 2010 MUN 4-0 STK Visit Club Page
12 Previous Position 12,Fulham FUL,38,12,10,16,39,46,-7,46,D Saturday 17 April 2010 FUL 0-0 WOL L Sunday 25 April 2010 EVE 2-1 FUL W Sunday 2 May 2010 FUL 3-2 WHU L Wednesday 5 May 2010 FUL 0-1 STK L Sunday 9 May 2010 ARS 4-0 FUL,,
Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 9 May 2010 ARS 4-0 FUL Visit Club Page
13 Previous Position 13,Sunderland SUN,38,11,11,16,48,56,-8,44,L Saturday 10 April 2010 WHU 1-0 SUN W Saturday 17 April 2010 SUN 2-1 BUR W Saturday 24 April 2010 HUL 0-1 SUN L Sunday 2 May 2010 SUN 0-1 MUN L Sunday 9 May 2010 WOL 2-1 SUN,,
Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Sunderland label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page
14 Previous Position 14,Bolton Wanderers BOL,38,10,9,19,42,67,-25,39,L Tuesday 13 April 2010 CHE 1-0 BOL W Saturday 17 April 2010 STK 1-2 BOL D Saturday 24 April 2010 BOL 2-2 POR L Saturday 1 May 2010 TOT 1-0 BOL W Sunday 9 May 2010 BOL 2-1 BIR,,
Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page,Bolton Wanderers label.latestresult: Sunday 9 May 2010 BOL 2-1 BIR Visit Club Page
15 Previous Position 16,Wolverhampton Wanderers WOL,38,9,11,18,32,56,-24,38,D Sunday 11 April 2010 WOL 0-0 STK D Saturday 17 April 2010 FUL 0-0 WOL D Saturday 24 April 2010 WOL 1-1 BLB L Saturday 1 May 2010 POR 3-1 WOL W Sunday 9 May 2010 WOL 2-1 SUN,,
Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page,Wolverhampton Wanderers label.latestresult: Sunday 9 May 2010 WOL 2-1 SUN Visit Club Page
16 Previous Position 15,Wigan Athletic WIG,38,9,9,20,37,79,-42,36,D Wednesday 14 April 2010 WIG 0-0 POR W Sunday 18 April 2010 WIG 3-2 ARS L Saturday 24 April 2010 WHU 3-2 WIG D Monday 3 May 2010 WIG 2-2 HUL L Sunday 9 May 2010 CHE 8-0 WIG,,
Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page,Wigan Athletic label.latestresult: Sunday 9 May 2010 CHE 8-0 WIG Visit Club Page
17 Previous Position 17,West Ham United WHU,38,8,11,19,47,66,-19,35,W Saturday 10 April 2010 WHU 1-0 SUN L Monday 19 April 2010 LIV 3-0 WHU W Saturday 24 April 2010 WHU 3-2 WIG L Sunday 2 May 2010 FUL 3-2 WHU D Sunday 9 May 2010 WHU 1-1 MCI,,
West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page,West Ham United label.latestresult: Sunday 9 May 2010 WHU 1-1 MCI Visit Club Page
18 Previous Position 19,Burnley BUR,38,8,6,24,42,82,-40,30,W Saturday 10 April 2010 HUL 1-4 BUR L Saturday 17 April 2010 SUN 2-1 BUR L Sunday 25 April 2010 BUR 0-4 LIV L Saturday 1 May 2010 BIR 2-1 BUR W Sunday 9 May 2010 BUR 4-2 TOT,,
Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page,Burnley label.latestresult: Sunday 9 May 2010 BUR 4-2 TOT Visit Club Page
19 Previous Position 18,Hull City HUL,38,6,12,20,34,75,-41,30,D Saturday 17 April 2010 BIR 0-0 HUL L Wednesday 21 April 2010 HUL 0-2 AVL L Saturday 24 April 2010 HUL 0-1 SUN D Monday 3 May 2010 WIG 2-2 HUL D Sunday 9 May 2010 HUL 0-0 LIV,,
Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page,Hull City label.latestresult: Sunday 9 May 2010 HUL 0-0 LIV Visit Club Page
