Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
6 Previous Position 6,Wimbledon WIM,42,18,11,13,56,53,3,65,D Tuesday 19 April 1994 ARS 1-1 WIM W Saturday 23 April 1994 SWI 2-4 WIM W Tuesday 26 April 1994 WIM 3-0 OLD W Saturday 30 April 1994 WIM 2-1 TOT L Saturday 7 May 1994 EVE 3-2 WIM,,
Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Wimbledon label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page
7 Previous Position 7,Sheffield Wednesday SHW,42,16,16,10,76,54,22,64,D Saturday 16 April 1994 COV 1-1 SHW W Saturday 23 April 1994 SHW 5-0 IPS D Saturday 30 April 1994 OLD 0-0 SHW D Tuesday 3 May 1994 LEE 2-2 SHW D Saturday 7 May 1994 SHW 1-1 MCI,,
Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Sheffield Wednesday label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page
8 Previous Position 8,Liverpool LIV,42,17,9,16,59,55,4,60,W Saturday 9 April 1994 LIV 1-0 IPS L Saturday 16 April 1994 LIV 0-2 NEW W Saturday 23 April 1994 WHU 1-2 LIV L Saturday 30 April 1994 LIV 0-1 NOR L Saturday 7 May 1994 AVL 2-1 LIV,,
Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Liverpool label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page
9 Previous Position 9,Queens Park Rangers QPR,42,16,12,14,62,61,1,60,D Sunday 24 April 1994 BLB 1-1 QPR D Wednesday 27 April 1994 QPR 1-1 ARS L Saturday 30 April 1994 QPR 1-3 SWI D Tuesday 3 May 1994 QPR 0-0 WHU W Saturday 7 May 1994 TOT 1-2 QPR,,
Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page
10 Previous Position 11,Aston Villa AVL,42,15,12,15,46,50,-4,57,W Saturday 16 April 1994 SHU 1-2 AVL L Saturday 23 April 1994 AVL 1-2 ARS L Wednesday 27 April 1994 NEW 5-1 AVL L Saturday 30 April 1994 SOU 4-1 AVL W Saturday 7 May 1994 AVL 2-1 LIV,,
Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page,Aston Villa label.latestresult: Saturday 7 May 1994 AVL 2-1 LIV Visit Club Page
11 Previous Position 10,Coventry City COV,42,14,14,14,43,45,-2,56,D Saturday 16 April 1994 COV 1-1 SHW D Saturday 23 April 1994 EVE 0-0 COV W Monday 2 May 1994 COV 2-1 BLB W Wednesday 4 May 1994 CHE 1-2 COV D Sunday 8 May 1994 MUN 0-0 COV,,
Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page,Coventry City label.latestresult: Sunday 8 May 1994 MUN 0-0 COV Visit Club Page
12 Previous Position 12,Norwich City NOR,42,12,17,13,65,61,4,53,L Saturday 9 April 1994 NOR 4-5 SOU D Saturday 16 April 1994 MCI 1-1 NOR L Saturday 23 April 1994 NOR 0-1 SHU W Saturday 30 April 1994 LIV 0-1 NOR D Saturday 7 May 1994 NOR 1-1 OLD,,
Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page,Norwich City label.latestresult: Saturday 7 May 1994 NOR 1-1 OLD Visit Club Page
13 Previous Position 13,West Ham United WHU,42,13,13,16,47,58,-11,52,L Saturday 23 April 1994 WHU 1-2 LIV L Wednesday 27 April 1994 WHU 1-2 BLB W Saturday 30 April 1994 ARS 0-2 WHU D Tuesday 3 May 1994 QPR 0-0 WHU D Saturday 7 May 1994 WHU 3-3 SOU,,
West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,West Ham United label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page
14 Previous Position 14,Chelsea CHE,42,13,12,17,49,53,-4,51,D Saturday 23 April 1994 CHE 1-1 LEE W Wednesday 27 April 1994 CHE 2-0 SWI D Saturday 30 April 1994 MCI 2-2 CHE L Wednesday 4 May 1994 CHE 1-2 COV W Saturday 7 May 1994 CHE 3-2 SHU,,
Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page,Chelsea label.latestresult: Saturday 7 May 1994 CHE 3-2 SHU Visit Club Page
15 Previous Position 15,Tottenham Hotspur TOT,42,11,12,19,54,59,-5,45,L Sunday 17 April 1994 LEE 2-0 TOT W Saturday 23 April 1994 TOT 3-0 SOU L Saturday 30 April 1994 WIM 2-1 TOT W Thursday 5 May 1994 OLD 0-2 TOT L Saturday 7 May 1994 TOT 1-2 QPR,,
Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page,Tottenham Hotspur label.latestresult: Saturday 7 May 1994 TOT 1-2 QPR Visit Club Page
16 Previous Position 16,Manchester City MCI,42,9,18,15,38,49,-11,45,W Saturday 9 April 1994 MCI 2-1 NEW D Saturday 16 April 1994 MCI 1-1 NOR L Saturday 23 April 1994 MUN 2-0 MCI D Saturday 30 April 1994 MCI 2-2 CHE D Saturday 7 May 1994 SHW 1-1 MCI,,
Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page,Manchester City label.latestresult: Saturday 7 May 1994 SHW 1-1 MCI Visit Club Page
17 Previous Position 20,Everton EVE,42,12,8,22,42,63,-21,44,W Saturday 9 April 1994 WHU 0-1 EVE L Saturday 16 April 1994 QPR 2-1 EVE D Saturday 23 April 1994 EVE 0-0 COV L Saturday 30 April 1994 LEE 3-0 EVE W Saturday 7 May 1994 EVE 3-2 WIM,,
Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page,Everton label.latestresult: Saturday 7 May 1994 EVE 3-2 WIM Visit Club Page
18 Previous Position 17,Southampton SOU,42,12,7,23,49,66,-17,43,W Saturday 16 April 1994 SOU 3-1 BLB L Saturday 23 April 1994 TOT 3-0 SOU W Saturday 30 April 1994 SOU 4-1 AVL L Wednesday 4 May 1994 MUN 2-0 SOU D Saturday 7 May 1994 WHU 3-3 SOU,,
Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page,Southampton label.latestresult: Saturday 7 May 1994 WHU 3-3 SOU Visit Club Page
19 Previous Position 19,Ipswich Town IPS,42,9,16,17,35,58,-23,43,L Saturday 9 April 1994 LIV 1-0 IPS D Saturday 16 April 1994 IPS 1-1 SWI L Saturday 23 April 1994 SHW 5-0 IPS L Sunday 1 May 1994 IPS 1-2 MUN D Saturday 7 May 1994 BLB 0-0 IPS,,
