Position,Club,Played Pl,Won W,Drawn D,Lost L,GF,GA,GD,Points Pts,Form,More,Unnamed: 12
6 Previous Position 6,Chelsea CHE,38,18,10,10,65,46,19,64,D Saturday 21 April 2012 ARS 0-0 CHE W Sunday 29 April 2012 CHE 6-1 QPR L Wednesday 2 May 2012 CHE 0-2 NEW L Tuesday 8 May 2012 LIV 4-1 CHE W Sunday 13 May 2012 CHE 2-1 BLB,,
Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page,Chelsea label.latestresult: Sunday 13 May 2012 CHE 2-1 BLB Visit Club Page
7 Previous Position 7,Everton EVE,38,15,11,12,50,40,10,56,D Sunday 22 April 2012 MUN 4-4 EVE W Saturday 28 April 2012 EVE 4-0 FUL D Tuesday 1 May 2012 STK 1-1 EVE D Sunday 6 May 2012 WOL 0-0 EVE W Sunday 13 May 2012 EVE 3-1 NEW,,
Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page,Everton label.latestresult: Sunday 13 May 2012 EVE 3-1 NEW Visit Club Page
8 Previous Position 8,Liverpool LIV,38,14,10,14,47,40,7,52,L Sunday 22 April 2012 LIV 0-1 WBA W Saturday 28 April 2012 NOR 0-3 LIV L Tuesday 1 May 2012 LIV 0-1 FUL W Tuesday 8 May 2012 LIV 4-1 CHE L Sunday 13 May 2012 SWA 1-0 LIV,,
Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Liverpool label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page
9 Previous Position 9,Fulham FUL,38,14,10,14,48,51,-3,52,W Saturday 21 April 2012 FUL 2-1 WIG L Saturday 28 April 2012 EVE 4-0 FUL W Tuesday 1 May 2012 LIV 0-1 FUL W Sunday 6 May 2012 FUL 2-1 SUN L Sunday 13 May 2012 TOT 2-0 FUL,,
Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page,Fulham label.latestresult: Sunday 13 May 2012 TOT 2-0 FUL Visit Club Page
10 Previous Position 10,West Bromwich Albion WBA,38,13,8,17,45,52,-7,47,W Saturday 14 April 2012 WBA 1-0 QPR W Sunday 22 April 2012 LIV 0-1 WBA D Saturday 28 April 2012 WBA 0-0 AVL D Sunday 6 May 2012 BOL 2-2 WBA L Sunday 13 May 2012 WBA 2-3 ARS,,
West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page,West Bromwich Albion label.latestresult: Sunday 13 May 2012 WBA 2-3 ARS Visit Club Page
11 Previous Position 12,Swansea City SWA,38,12,11,15,44,51,-7,47,W Saturday 14 April 2012 SWA 3-0 BLB D Saturday 21 April 2012 BOL 1-1 SWA D Saturday 28 April 2012 SWA 4-4 WOL L Sunday 6 May 2012 MUN 2-0 SWA W Sunday 13 May 2012 SWA 1-0 LIV,,
Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page,Swansea City label.latestresult: Sunday 13 May 2012 SWA 1-0 LIV Visit Club Page
12 Previous Position 13,Norwich City NOR,38,12,11,15,52,66,-14,47,L Saturday 14 April 2012 NOR 1-6 MCI L Saturday 21 April 2012 BLB 2-0 NOR L Saturday 28 April 2012 NOR 0-3 LIV D Saturday 5 May 2012 ARS 3-3 NOR W Sunday 13 May 2012 NOR 2-0 AVL,,
Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Norwich City label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page
13 Previous Position 11,Sunderland SUN,38,11,12,15,45,46,-1,45,D Saturday 14 April 2012 SUN 0-0 WOL D Saturday 21 April 2012 AVL 0-0 SUN D Saturday 28 April 2012 SUN 2-2 BOL L Sunday 6 May 2012 FUL 2-1 SUN L Sunday 13 May 2012 SUN 0-1 MUN,,
Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page,Sunderland label.latestresult: Sunday 13 May 2012 SUN 0-1 MUN Visit Club Page
14 Previous Position 14,Stoke City STK,38,11,12,15,36,53,-17,45,L Saturday 21 April 2012 NEW 3-0 STK D Saturday 28 April 2012 STK 1-1 ARS D Tuesday 1 May 2012 STK 1-1 EVE L Sunday 6 May 2012 QPR 1-0 STK D Sunday 13 May 2012 STK 2-2 BOL,,
Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Stoke City label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page
15 Previous Position 15,Wigan Athletic WIG,38,11,10,17,42,62,-20,43,W Monday 16 April 2012 ARS 1-2 WIG L Saturday 21 April 2012 FUL 2-1 WIG W Saturday 28 April 2012 WIG 4-0 NEW W Monday 7 May 2012 BLB 0-1 WIG W Sunday 13 May 2012 WIG 3-2 WOL,,
Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page,Wigan Athletic label.latestresult: Sunday 13 May 2012 WIG 3-2 WOL Visit Club Page
16 Previous Position 16,Aston Villa AVL,38,7,17,14,37,53,-16,38,D Saturday 21 April 2012 AVL 0-0 SUN L Tuesday 24 April 2012 AVL 1-2 BOL D Saturday 28 April 2012 WBA 0-0 AVL D Sunday 6 May 2012 AVL 1-1 TOT L Sunday 13 May 2012 NOR 2-0 AVL,,
Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page,Aston Villa label.latestresult: Sunday 13 May 2012 NOR 2-0 AVL Visit Club Page
17 Previous Position 17,Queens Park Rangers QPR,38,10,7,21,43,66,-23,37,L Saturday 14 April 2012 WBA 1-0 QPR W Saturday 21 April 2012 QPR 1-0 TOT L Sunday 29 April 2012 CHE 6-1 QPR W Sunday 6 May 2012 QPR 1-0 STK L Sunday 13 May 2012 MCI 3-2 QPR,,
Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page,Queens Park Rangers label.latestresult: Sunday 13 May 2012 MCI 3-2 QPR Visit Club Page
18 Previous Position 18,Bolton Wanderers BOL,38,10,6,22,46,77,-31,36,W Tuesday 24 April 2012 AVL 1-2 BOL D Saturday 28 April 2012 SUN 2-2 BOL L Wednesday 2 May 2012 BOL 1-4 TOT D Sunday 6 May 2012 BOL 2-2 WBA D Sunday 13 May 2012 STK 2-2 BOL,,
Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page,Bolton Wanderers label.latestresult: Sunday 13 May 2012 STK 2-2 BOL Visit Club Page
19 Previous Position 19,Blackburn Rovers BLB,38,8,7,23,48,78,-30,31,L Saturday 14 April 2012 SWA 3-0 BLB W Saturday 21 April 2012 BLB 2-0 NOR L Sunday 29 April 2012 TOT 2-0 BLB L Monday 7 May 2012 BLB 0-1 WIG L Sunday 13 May 2012 CHE 2-1 BLB,,
